SITE_ID,n_total_flux,prop_positive_total_flux,median_total_flux,mean_total_flux,median_gradient_flux,median_storage_flux
NOGP,9164,0.8097992143168922,0.46086591167902446,0.9132009264715137,0.46161376168829427,-2.2923478888957658e-4
MOAB,10008,0.7735811350919265,0.2189629583789614,0.4045077922737438,0.21899554317211445,-9.192890884356004e-5
LENO,350,0.7628571428571429,0.16025549359360144,1.7068152655609057,0.1513406655846284,0.0020411662058132975
OAES,9494,0.7606909627132926,0.44707962196582846,0.8614712289828467,0.4467657310885761,-3.510051247275411e-4
RMNP,128,0.75,0.10305040128794529,0.8960589360597109,0.10159641735714856,6.280901199689126e-4
JORN,3904,0.7336065573770492,0.1445205967471871,0.3486277248195054,0.1443454913455911,-2.523448377201846e-4
STER,8521,0.7334819856824316,0.23346753972548814,0.43243609927280063,0.23316822108840626,-9.611231134275193e-5
KONZ,16097,0.7203205566254581,0.29387903404114285,0.10919496065128176,0.29336113691095417,-1.3077704791392257e-5
SCBI,2215,0.7038374717832957,0.015356190929548997,0.44492680843254545,0.01526902153413084,5.490552543978596e-4
GRSM,2700,0.702962962962963,0.2653094545449343,1.0601273095166293,0.2627611439082387,3.312835658571321e-4
TALL,2168,0.6988007380073801,0.27483605214260814,0.441360258483495,0.27115865857043164,-9.115105072050821e-4
BART,372,0.6935483870967742,0.01110436542750828,0.5405969677126643,0.009893453993281665,0.0010516875822229282
SRER,9458,0.6929583421442166,0.12275800564923872,0.2922558311772816,0.12154166528936494,-2.7369716340936962e-5
ORNL,1992,0.6882530120481928,0.03780662800634397,0.6046853392789696,0.03622886573006397,0.0019530387704767142
MLBS,806,0.6712158808933002,0.012556715303364165,0.3899300297778372,0.012452767719775482,2.113832002760355e-4
YELL,1460,0.6705479452054794,0.18891339145597064,0.4596538785750407,0.18955206890102105,4.785449519907143e-5
HEAL,724,0.669889502762431,0.003597300937245541,0.04752605019957084,0.0031704316892604387,1.87030636752031e-4
KONA,14148,0.6663132598247102,0.10411050925112936,0.20940126091351538,0.10414265382909793,-1.2090357265775277e-5
SJER,1867,0.6620246384574183,0.0170330484839623,0.5166465601081711,0.0158384544179547,6.91831366807861e-4
JERC,246,0.6585365853658537,0.030901390867368934,0.12101803676579113,0.0332386805475582,0.001932953193057836
WOOD,9923,0.6576640128993247,0.12296902834629746,0.19825872462426766,0.12335122340791087,-3.020293107539022e-5
UNDE,1058,0.6531190926275993,0.007691843400918345,0.23172084949298366,0.0069927142754306615,6.238148625982061e-4
DSNY,181,0.6519337016574586,0.04471897507743647,0.16103253470138276,0.03923239855281051,0.0011045704046676735
BARR,638,0.6442006269592476,6.351892854681521e-4,0.010908159569734299,4.856428755715984e-4,-7.287569096762351e-6
LAJA,6523,0.6412693545914456,1.3589284118500047,0.5411690546447553,1.3587866041405192,-3.7544999165301375e-4
SERC,2084,0.6386756238003839,0.01622456928615236,0.08548179887817874,0.014061842140354436,0.0016005802415610386
CLBJ,258,0.6317829457364341,0.025419807431024826,1.2783302411255655,0.025436834330178917,-2.772505352388572e-4
SOAP,4369,0.63080796520943,0.019352965948889807,0.301553466362263,0.021604238031199718,3.0507614462396985e-4
BLAN,611,0.630114566284779,0.16061720006208605,-0.07799031779582977,0.1641994136083093,-4.36110875057622e-5
TREE,1486,0.6285329744279946,0.005500800195692047,0.3277708095996142,0.006535739096910988,-1.0402425449070008e-4
UKFS,1972,0.6222109533468559,0.010834910088096497,-0.14252354278017518,0.00963922981750877,0.0015200553537912291
CPER,2308,0.6152512998266898,0.0068836124648047935,0.5263275316240474,0.007226149355521711,-7.102539933255943e-7
STEI,2189,0.6107811786203746,0.0038328563112100945,-0.06870695284791305,0.003789165048565553,-2.4631339165912436e-4
WREF,334,0.6077844311377245,0.03696591154608547,0.37163400692599746,0.02951869293203887,0.0010856832376884514
DCFS,5815,0.5858985382631127,0.004564811841475979,-0.17869944661978984,0.004692594511869118,1.1593657817636592e-5
NIWO,153,0.5816993464052288,0.0033637938597334527,1.2956428655240826,0.0028421752162171203,7.912934117760049e-5
DEJU,956,0.5648535564853556,0.010466730043996153,0.22654776652622316,0.010891248912802774,5.3282081204968276e-5
ONAQ,1741,0.5192418150488225,5.297414463064747e-4,0.07254501184125274,-2.5256430019256036e-4,1.2910493278992725e-4
BONA,301,0.43853820598006643,-0.012966022939665742,-0.2528359922726734,-0.012244522538074728,8.057967402229616e-4
ABBY,0,NA,NA,NA,NA,NA
DELA,0,NA,NA,NA,NA,NA
GUAN,0,NA,NA,NA,NA,NA
HARV,0,NA,NA,NA,NA,NA
OSBS,0,NA,NA,NA,NA,NA
PUUM,0,NA,NA,NA,NA,NA
TEAK,0,NA,NA,NA,NA,NA
TOOL,0,NA,NA,NA,NA,NA
