Approach,n_evaluable,n_retained,prop_negative_dConc_evaluable,prop_negative_dConc_retained,retention_rate_negative_dConc,retention_rate_positive_dConc,retention_rate_ratio_negative_to_positive,median_abs_dConc_evaluable,median_abs_dConc_retained,median_dConcSNR_evaluable,median_dConcSNR_retained
AE,253158,35544,0.46713514880035395,0.47833670943056494,0.14376918458637397,0.13745098184567714,1.045966952406281,0.001824486996061303,0.004458000931652162,1.3561714502450783,3.433995242530837
MBR,485554,44854,0.4664733479695358,0.5044366165782316,0.0998949218094641,0.08580384164041752,1.164224350561118,0.001822368421052989,0.0048174551969704105,1.3594187846550394,3.5519371054915423
WP,253158,35564,0.46713514880035395,0.4787144303227983,0.1439636729551239,0.13742874298549285,1.0475514061153925,0.001824486996061303,0.00445975846791935,1.3564877173834073,3.4317735958106437
