Approach,cross_grad_class,n,prop_positive_FG,median_FG,median_abs_FG,n_sites
MBR,not flagged,436904,0.49871367623093404,-4.830056971903766e-5,0.00677148527387254,47
AE,missing,555509,0.4199319903007872,-1.6814781526699397e-4,0.0010109803357386976,47
WP,missing,547149,0.42059475572467464,-0.005454582341856535,0.02316404994681767,47
