SITE_ID,Approach,Canopy_L1,dLevelsAminusB,tower_order,pair_span,n,prop_positive_FG,prop_cross_grad_flagged,median_FG,median_abs_FG
SJER,MBR,AW,4_3,A above B,1,143,0.7202797202797203,0,0.009550215339302368,0.021893648506749318
UNDE,MBR,AA,6_4,A above B,2,863,0.7172653534183082,0,0.005114096255850217,0.007949650463608897
DELA,MBR,AW,5_1,A above B,4,4654,0.7170176192522562,0,0.004283344215529774,0.008796651949356747
KONA,MBR,AA,3_2,A above B,1,112,0.7142857142857143,0,0.005244309761840706,0.008380586139334121
SOAP,MBR,AA,4_3,A above B,1,112,0.7142857142857143,0,0.016956433867510813,0.02125472301218146
LENO,MBR,AW,6_3,A above B,3,436,0.713302752293578,0,0.00953523448534722,0.017510402089981704
LENO,MBR,AW,4_3,A above B,1,52,0.7115384615384616,0,0.01047010259135132,0.027539176972071797
WOOD,MBR,AA,3_2,A above B,1,341,0.7096774193548387,0,0.004292787209337492,0.005968213330658036
KONZ,MBR,AA,4_2,A above B,2,3884,0.7085478887744593,0,0.004862056612094783,0.007843915219655998
HEAL,MBR,AA,3_2,A above B,1,58,0.7068965517241379,0,7.410615300296888e-4,0.0021107127729782906
TOOL,MBR,AA,3_1,A above B,2,176,0.7045454545454546,0,0.0012363411131685652,0.003073266871065501
WREF,MBR,AA,7_6,A above B,1,10,0.7,0,0.006940027855951073,0.007225090146695034
DELA,MBR,AW,4_3,A above B,1,643,0.6998444790046656,0,0.007903558309386008,0.017000182857590248
TEAK,MBR,AA,7_6,A above B,1,63,0.6984126984126984,0,0.001910172751722639,0.014175383856248383
UNDE,MBR,AW,5_2,A above B,3,695,0.697841726618705,0,0.004014922486829844,0.006009404552203207
TOOL,MBR,AA,4_3,A above B,1,23,0.6956521739130435,0,0.0015365223063368548,0.002925583402095441
SERC,MBR,AW,6_4,A above B,2,1588,0.6952141057934509,0,0.0060477621549506495,0.012199967309645558
TREE,MBR,AW,6_4,A above B,2,1202,0.6938435940099834,0,0.00445897666499695,0.00792391669668719
OSBS,MBR,AA,6_4,A above B,2,1136,0.6936619718309859,0,0.0049030923833396885,0.011328129823634066
DELA,MBR,AA,6_5,A above B,1,107,0.6915887850467289,0,0.005923816243134784,0.01654136916274154
STER,MBR,AA,3_2,A above B,1,213,0.6901408450704225,0,0.00440653821836473,0.009529323015435595
SOAP,MBR,AW,3_1,A above B,2,989,0.6895854398382204,0,0.009367968303967536,0.01794945526928907
OSBS,WP,AA,6_4,A above B,2,1261,0.6891356066613799,0,0.030828313948467075,0.05545991771860743
CPER,MBR,AA,4_3,A above B,1,151,0.6887417218543046,0,0.0046464951958666055,0.009687711871745467
MLBS,MBR,AW,5_2,A above B,3,576,0.6875,0,0.006002505674490772,0.00981168017078806
ORNL,MBR,AW,4_3,A above B,1,51,0.6862745098039216,0,0.007091637013552095,0.009307594649848878
OSBS,AE,AA,6_4,A above B,2,1262,0.6862123613312203,0,1.4851044769755294e-4,2.8595937294438454e-4
TEAK,MBR,AA,7_5,A above B,2,376,0.6861702127659575,0,0.014301731662951582,0.02420805522118997
UKFS,MBR,AA,6_4,A above B,2,1583,0.6841440303221731,0,0.007236434064266039,0.014131717043527647
WOOD,MBR,AA,4_2,A above B,2,2148,0.6829608938547486,0,0.003792503111065511,0.007228055312508587
STER,MBR,AA,2_1,A above B,1,674,0.6824925816023739,0,0.0046058224747809635,0.008558272632219
NOGP,MBR,AA,4_3,A above B,1,336,0.6815476190476191,0,0.0033547174298178394,0.006604980800657774
UNDE,MBR,AW,6_3,A above B,3,1082,0.6792975970425139,0,0.004515181956097101,0.00805426244000923
CPER,MBR,AA,3_2,A above B,1,134,0.6791044776119403,0,0.006218289926309366,0.01311636513670523
KONA,MBR,AA,4_2,A above B,2,3651,0.6778964667214462,0,0.0032946784528502145,0.006350007174900728
CLBJ,MBR,AA,5_3,A above B,2,1940,0.677319587628866,0,0.015007134094084638,0.032527805723816285
LENO,AE,AW,4_3,A above B,1,34,0.6764705882352942,0,2.1173610094366222e-4,5.298046397069483e-4
OAES,MBR,AA,4_3,A above B,1,403,0.674937965260546,0,0.011679200957569861,0.023460623980191463
UKFS,MBR,AA,6_5,A above B,1,338,0.6745562130177515,0,0.008862497676919328,0.01877023106566171
BARR,WP,AA,4_3,A above B,1,43,0.6744186046511628,0,0.023257822187136203,0.04941807967267001
LAJA,MBR,AA,4_3,A above B,1,43,0.6744186046511628,0,0.020019635403519403,0.02523481831272488
TOOL,AE,AA,4_1,A above B,3,95,0.6736842105263158,0,0.002673234587062069,0.005291038462324089
TEAK,MBR,AA,5_4,A above B,1,49,0.673469387755102,0,0.010554181153414475,0.017773335794073444
DELA,AE,AW,5_2,A above B,3,3173,0.6722344784115979,0,2.2077948495957526e-4,3.703787052013711e-4
MLBS,MBR,AW,4_2,A above B,2,250,0.672,0,0.006007957732171227,0.009364083131906573
SOAP,MBR,AW,4_1,A above B,3,1442,0.6719833564493759,0,0.008087981585149808,0.0172360216365077
UNDE,MBR,AA,6_5,A above B,1,194,0.6701030927835051,0,0.0031817286607405118,0.005812685758691603
DELA,WP,AW,5_2,A above B,3,2936,0.6699591280653951,0,0.020835012175117885,0.03585576965746495
BART,MBR,AW,5_3,A above B,2,189,0.6666666666666666,0,0.00507480109473677,0.007803812594740156
BARR,AE,AA,4_3,A above B,1,45,0.6666666666666666,0,0.007438644266193321,0.017443741793918235
LENO,WP,AW,4_3,A above B,1,30,0.6666666666666666,0,0.03164221975572716,0.052311726946094816
