SITE_ID,Year,n_30min,n_observed,n_gapfilled,observed_coverage,annual_budget_gC_m2_yr,observed_partial_sum_gC_m2,gapfilled_partial_sum_gC_m2,model_prediction_se_gC,n_training_obs,n_residual_days,daily_residual_sd_gC,gapfilled_days_equiv,residual_block_se_gC,annual_budget_sd_gC_m2_yr,annual_budget_lower95_gC_m2_yr,annual_budget_upper95_gC_m2_yr,quality_flag,n_observed_days,mean_observed_total_gC_m2_day,sd_observed_total_gC_m2_day,observed_scaled_annual_gC_m2_yr,observed_scaled_annual_se_gC_m2_yr,observed_scaled_annual_lower95_gC_m2_yr,observed_scaled_annual_upper95_gC_m2_yr,observed_FG_scaled_annual_gC_m2_yr,observed_storage_scaled_annual_gC_m2_yr,interpretable_budget,annual_budget_interpretable_gC_m2_yr,annual_budget_interpretable_lower95_gC_m2_yr,annual_budget_interpretable_upper95_gC_m2_yr,n_obs,n_fill,prop_obs_positive,prop_fill_positive,mean_obs_mgC,mean_fill_mgC,delta_prop_positive,delta_mean_mgC,observed_sign,gapfilled_sign,sign_flip,flip_direction,annual_budget_difference_gC_m2_yr
BARR,2021,17520,34,17486,0.00194063926940639,-0.1653211873721421,-1.752641387337259e-4,-0.16514592323340832,0.001352134992651,638,38,4.1796219891314574e-4,364.2916666666667,0.0079774046812301,0.00809118375063027,-0.18117990752337745,-0.14946246722090678,very low observed coverage,2,3.923038763579231e-6,5.994710124630053e-7,0.00143190914870641,1.5471985658363507e-4,0.00112865822980249,0.00173516006761034,0.0013919232800466,3.9985868659811465e-5,FALSE,NA,NA,NA,34,17486,0.6176470588235294,0.311048839071257,-0.005154827609815467,-0.009444465471429008,-0.3065982197522724,-0.004289637861613541,source,sink,TRUE,observed source -> gapfilled sink,-0.16675309652084852
BARR,2022,17520,461,17059,0.02631278538812785,-0.15295859317505262,3.541107909092299e-4,-0.1533127039659618,0.00133606396424739,638,38,4.1796219891314574e-4,355.3958333333333,0.00787940041980353,0.00799187198922508,-0.16862266227393377,-0.13729452407617146,low observed coverage,27,2.2595735629236443e-5,8.244546969878878e-5,0.0082474435046713,0.00579132288509406,-0.00310354935011307,0.01959843635945567,0.00822869202608176,1.8751478589541214e-5,FALSE,NA,NA,NA,461,17059,0.6290672451193059,0.3047658127674541,7.681362058768541e-4,-0.008987203468313639,-0.32430143235185177,-0.009755339674190493,source,sink,TRUE,observed source -> gapfilled sink,-0.1612060366797239
BARR,2023,17520,137,17383,0.00781963470319634,-0.17620380823327378,8.90401165834143e-5,-0.17629284834985717,0.00135357753916186,638,38,4.1796219891314574e-4,362.1458333333333,0.00795387482135041,0.00806822761380934,-0.19201753435634009,-0.16039008211020747,very low observed coverage,9,1.9159521132049817e-5,3.350500950547416e-5,0.00699322521319818,0.00407644282316602,-9.96602720207222e-4,0.01498305314660358,0.00687900254083354,1.1422267236464156e-4,FALSE,NA,NA,NA,137,17383,0.6861313868613139,0.2932175113616752,6.49927858273096e-4,-0.010141681433001034,-0.39291387549963874,-0.01079160929127413,source,sink,TRUE,observed source -> gapfilled sink,-0.18319703344647195
BART,2022,17520,197,17323,0.01124429223744292,0.4190752426254809,0.01033121292397151,0.4087440297015094,0.00141797831335057,372,3,0.00296510847781013,360.8958333333333,0.05632893245338041,0.05634677713795728,0.30863555943508464,0.5295149258158771,low observed coverage,3,0.00327750613542169,0.00253394174692101,1.1962897394289198,0.5339847616389228,0.14967960661663104,2.242899872241209,1.1941212421035523,0.00216849732536748,FALSE,NA,NA,NA,197,17323,0.7106598984771574,0.8522773191710443,0.05244270519782494,0.023595452848900977,0.14161742069388694,-0.028847252348923966,source,source,FALSE,same sign,-0.7772144968034389
BLAN,2023,17520,199,17321,0.01135844748858447,0.05832867113040115,-0.0016434206372052,0.05997209176760632,0.00119090311271379,611,4,0.00296510847781013,360.8541666666667,0.05632568067491309,0.05633826899822313,-0.05209433610611618,0.16875167836691848,low observed coverage,1,-0.00681564517297288,NA,-2.4877104881351015,NA,NA,NA,-2.4308879693809287,-0.05682251875417227,FALSE,NA,NA,NA,199,17321,0.6432160804020101,0.5470815772761388,-0.008258395161835175,0.0034623919962823105,-0.09613450312587124,0.011720787158117486,sink,source,TRUE,observed sink -> gapfilled source,2.5460391592655025
BLAN,2024,17568,127,17441,0.00722905282331511,0.09541664064792058,0.00181097056580901,0.0936056700821117,0.00119711945382867,611,4,0.00296510847781013,363.3541666666667,0.05652045624555088,0.05653313249053131,-0.01538829903352079,0.20622158032936191,very low observed coverage,3,0.00165161617607637,0.00710678815180256,0.6044915204439545,1.5017368152211692,-2.3389126373895373,3.5478956782774462,0.5909403895722103,0.01355113087174437,FALSE,NA,NA,NA,127,17441,0.6377952755905512,0.5663092712573821,0.014259610754401719,0.00536698985620728,-0.0714860043331691,-0.00889262089819444,source,source,FALSE,same sign,-0.5090748797960339
CLBJ,2023,17520,131,17389,0.00747716894977168,1.257672737526662,0.0065184597235699,1.2511542778030922,0.00162070690694809,258,1,0.00296510847781013,362.2708333333333,0.05643613603206387,0.05645940259255182,1.1470123084452604,1.3683331666080634,very low observed coverage,1,1.46417846996343e-5,NA,0.00534425141536651,NA,NA,NA,0.00996412614716493,-0.00461987473179841,FALSE,NA,NA,NA,131,17389,0.6412213740458015,0.9810799930990857,0.04975923453106798,0.07195090446851976,0.3398586190532842,0.02219166993745178,source,source,FALSE,same sign,1.2523284861112955
CPER,2021,17520,319,17201,0.01820776255707762,0.5756308240764609,0.00294667326193356,0.5726841508145274,7.842357075165737e-4,2308,137,0.00272437427197394,358.3541666666667,0.05157307178582132,0.05157903410369782,0.4745359172332132,0.6767257309197087,low observed coverage,15,4.5787718273665576e-4,9.738689282709578e-4,0.16712517169887936,0.09177993475416892,-0.01276350041929175,0.34701384381705047,0.16739294030258345,-2.6776860370405196e-4,FALSE,NA,NA,NA,319,17201,0.6394984326018809,0.8890762164990408,0.009237220256845027,0.03329365448604896,0.2495777838971599,0.024056434229203928,source,source,FALSE,same sign,0.4085056523775816
CPER,2022,17520,386,17134,0.02203196347031963,0.6205634664757642,0.00909378220859181,0.6114696842671717,7.933280265427551e-4,2308,137,0.00272437427197394,356.9583333333333,0.05147253207370631,0.05147864535354853,0.5196653215828091,0.7214616113687193,low observed coverage,13,7.930179339025839e-4,9.950904814928138e-4,0.2894515458744431,0.10073578157563068,0.09200941398620696,0.4868936777626792,0.2896576059463813,-2.060600719381957e-4,FALSE,NA,NA,NA,386,17134,0.6502590673575129,0.9109373176141006,0.023559021265781924,0.0356875034590389,0.26067825025658764,0.012128482193256976,source,source,FALSE,same sign,0.3311119206013211
CPER,2023,17520,963,16557,0.05496575342465754,0.5932729164002043,0.05183401240786341,0.5414389039923413,7.751303933548829e-4,2308,137,0.00272437427197394,344.9375,0.05059842237175399,0.05060435923551564,0.4940883722985937,0.692457460501815,moderate observed coverage,65,7.827794805989023e-5,0.00402624798131786,0.02857145104185993,0.18227902890988085,-0.32869544562150654,0.3858383477052264,0.02873880651214323,-1.6735547028330335e-4,TRUE,0.5932729164002043,0.4940883722985937,0.692457460501815,963,16557,0.5877466251298027,0.8978679712508305,0.05382555805593299,0.03270151017650218,0.3101213461210278,-0.021124047879430813,source,source,FALSE,same sign,0.5647014653583444
CPER,2024,17568,640,16928,0.03642987249544627,0.5917178497413674,0.00630779006939452,0.5854100596719729,7.847954485909045e-4,2308,137,0.00272437427197394,352.6666666666667,0.05116217239938633,0.05116819117890194,0.49142819503071966,0.6920075044520152,low observed coverage,44,5.657384238539391e-4,0.00108568793896726,0.2070602631305417,0.05990454313938842,0.08964735857734041,0.324473167683743,0.2070234978134104,3.67653171313014e-5,FALSE,NA,NA,NA,640,16928,0.6234375,0.9003426275992439,0.009855921983428948,0.03458235229631212,0.2769051275992439,0.02472643031288317,source,source,FALSE,same sign,0.3846575866108257
DCFS,2021,17520,926,16594,0.05285388127853881,-0.08659205747789976,0.00786909278430867,-0.09446115026220876,6.716179996320394e-4,5815,405,0.00302102311843301,345.7083333333333,0.05617058835941909,0.05617460340207786,-0.19669428014597237,0.02351016519017285,moderate observed coverage,66,3.687134894054102e-4,0.00146061024430115,0.13458042363297473,0.06562287283941141,0.00595959286772837,0.26320125439822106,0.13470487969336076,-1.2445606038605336e-4,TRUE,-0.08659205747789976,-0.19669428014597237,0.02351016519017285,926,16594,0.6328293736501079,0.35018681451126915,0.008497940371823632,-0.0056924882645660755,-0.2826425591388388,-0.014190428636389706,source,sink,TRUE,observed source -> gapfilled sink,-0.2211724811108745
