SITE_ID,n_retained,n_pairs,prop_positive_FG,prop_cross_grad_flagged,prop_cross_grad_missing,median_pair_span,dominant_pair_fraction
HEAL,19492,18,0.9166324646008619,0,0.602041863328545,2,0.1765852657500513
BARR,10560,18,0.8631628787878788,0,0.5964015151515152,2,0.16240530303030304
LENO,38829,36,0.7237116588117128,0,0.6766591980220968,3,0.07352751809214762
DELA,69749,36,0.6864327803982853,0,0.6475791767623909,3,0.0667249709673257
TOOL,1833,18,0.6328423349699945,0,0.6290234588106929,2,0.14893617021276595
BONA,6768,30,0.6023936170212766,0,0.5104905437352246,3,0.14332151300236406
LAJA,6815,18,0.5464416727806309,0,0.7496698459280998,2,0.14438738077769625
SOAP,53172,45,0.5357895132776649,0,0.8337846987136087,3,0.07289550891446626
STER,24838,18,0.5330944520492793,0,0.6967549722199855,2,0.13616233191078186
OAES,34430,18,0.5294220156839965,0,0.7756607609642754,2,0.13191983735114726
KONA,36454,18,0.5286114006693367,0,0.7490536017995282,2,0.15490755472650464
KONZ,36522,18,0.5249164886917475,0,0.7120365806910903,2,0.14826679809429932
SJER,65160,36,0.5182934315531,0,0.7833179864947821,3,0.07019643953345611
DSNY,30751,18,0.515527950310559,0,0.7382198952879581,2,0.1352151149556112
SERC,71326,27,0.5131368645374759,0,0.6854723382777669,3,0.08075596556655357
WOOD,23412,18,0.5101230138390569,0,0.7228344438749359,2,0.13266700837177517
DCFS,18872,18,0.5089550657058075,0,0.6816977532852904,2,0.11037515896566341
UKFS,80284,36,0.5082332718848089,0,0.7762941557470978,3,0.07585571222161328
CPER,18226,18,0.4979150663886755,0,0.7521123669483156,2,0.1437506858334248
NOGP,24292,18,0.49547176025028816,0,0.7022476535484933,2,0.11843405236291783
BLAN,18362,15,0.48899901971462806,0,0.6904476636531969,2,0.14116109356279272
SCBI,40127,36,0.48393849527749394,0,0.8017295088095298,3,0.08223889151942582
TALL,10538,27,0.4666919719111786,0,0.7899981021066617,2,0.08701840956538243
CLBJ,62494,27,0.4587320382756745,0,0.744231446218837,2,0.06416615995135533
RMNP,9135,27,0.4361247947454844,0,0.6973180076628352,2,0.0735632183908046
ORNL,57349,36,0.4120908821426703,0,0.7125843519503392,3,0.07192801966904393
JORN,8321,18,0.4081240235548612,0,0.6455954813123422,2,0.13135440451868766
YELL,6386,27,0.4015032884434701,0,0.7488255559035389,3,0.09646100845599749
MLBS,31689,36,0.3915869860203856,0,0.8116381078607718,3,0.0750418126163653
OSBS,49807,42,0.3904069709077037,0,0.73983576605698,3,0.0626016423394302
TEAK,43102,60,0.3835552874576586,0,0.7627024268015405,3,0.03784047143984038
UNDE,59592,36,0.38112498321922406,0,0.7226137736608941,3,0.07714122701033696
GUAN,30633,27,0.37936212581203277,0,0.653837364933242,3,0.07857539255051742
NIWO,6575,18,0.37627376425855513,0,0.7178707224334601,2,0.140532319391635
MOAB,21966,18,0.3644268414822908,0,0.709414549758718,2,0.12469270691068014
JERC,59417,42,0.35148189911978056,0,0.7495834525472508,3,0.06649612063887439
HARV,26233,27,0.3274501581976899,0,0.6462089734304121,4,0.1836999199481569
STEI,46596,36,0.3269593956562795,0,0.763606318138896,3,0.06292385612498927
SRER,17874,18,0.31710864943493344,0,0.7775539890343516,2,0.15217634552981985
TREE,46123,27,0.29794245820957005,0,0.6640504737332784,3,0.10862259610172799
ONAQ,17176,18,0.27148346530041917,0,0.6243595714951095,2,0.13163716814159293
GRSM,34051,36,0.2678629115150803,0,0.6546944289448181,3,0.07124607206836804
WREF,48461,75,0.2594251047233858,0,0.6940632673696374,4,0.055900621118012424
PUUM,35614,36,0.19980906385129443,0,0.6899533891166395,3,0.08990846296400291
BART,54954,36,0.19754703934199513,0,0.6002656767478255,3,0.13935291334570732
DEJU,8876,27,0.17958539882830105,0,0.5601622352410996,3,0.12133844073907166
ABBY,16326,27,0.15227244885458777,0,0.5883253705745437,3,0.12967046429008944
