Approach,tower_order,n,prop_FG_opposite_dConc,prop_FG_same_as_dConc,median_FG,median_dConc,prop_positive_FG,prop_negative_dConc
AE,A above B,119951,1,0,-1.1851308623092291e-4,0.00261495441278381,0.46406449300130886,0.46406449300130886
MBR,A above B,103165,0.7830465758736005,0.21695342412639945,9.313910656583384e-4,0.0022008804708222307,0.5378471380797751,0.4914166626278292
WP,A above B,118222,1,0,-0.00360600870932293,0.0025882099647057677,0.46588621407183095,0.46588621407183095
