SITE_ID,Approach,tower_order,n,prop_FG_opposite_dConc,prop_FG_same_as_dConc,median_FG,median_dConc,prop_positive_FG,prop_negative_dConc
KONZ,WP,A above B,12924,1,0,-0.006929514013248096,0.0026051955635560953,0.47175796966883315,0.47175796966883315
LENO,AE,A above B,13181,1,0,1.9521753736706873e-4,-0.009068295977358698,0.7104923753888173,0.7104923753888173
LENO,MBR,A above B,12555,0.8254082039028275,0.17459179609717243,0.004366326987227687,-0.017390784103313628,0.7502986857825568,0.8200716845878137
LENO,WP,A above B,13093,1,0,0.0089412056331741,-0.009081830575757621,0.7115252424959903,0.7115252424959903
MOAB,AE,A above B,7820,1,0,-0.004922364857218337,0.003531356795625107,0.359462915601023,0.359462915601023
MOAB,MBR,A above B,6383,0.8091806360645465,0.19081936393545354,-8.225789053460529e-4,0.004660353962264052,0.37474541751527496,0.29484568384772053
MOAB,WP,A above B,7763,1,0,-0.006877151138487477,0.0035208406250000213,0.36094293443256475,0.36094293443256475
NIWO,AE,A above B,2368,1,0,-0.005610942051270611,0.0026804820935009133,0.36951013513513514,0.36951013513513514
NIWO,MBR,A above B,1855,0.81455525606469,0.18544474393530996,-2.606828778180372e-4,0.0032370094962961282,0.3978436657681941,0.34932614555256064
NIWO,WP,A above B,2352,1,0,-0.006637356888684914,0.0027088629714122625,0.36607142857142855,0.36607142857142855
NOGP,AE,A above B,8537,1,0,-0.004502550170511859,0.002434837173912463,0.45964624575377766,0.45964624575377766
NOGP,MBR,A above B,7233,0.799115166597539,0.20088483340246094,0.0018057243196597738,-0.0022060182069676415,0.5816397068989354,0.5159684778100373
NOGP,WP,A above B,8522,1,0,-0.005575259112458278,0.0024405504173208303,0.45822576859892045,0.45822576859892045
OAES,AE,A above B,13365,1,0,0.004464861054159298,-0.0024734056764250667,0.5046015712682379,0.5046015712682379
OAES,MBR,A above B,7724,0.7866390471258415,0.21336095287415846,0.006895254806752918,-0.006060557132552602,0.6126359399274987,0.5660279647850854
OAES,WP,A above B,13341,1,0,0.0059785247350933775,-0.0025687284697224477,0.5061089873322839,0.5061089873322839
ONAQ,AE,A above B,5367,1,0,-0.005302178662175304,0.0047774673901099796,0.2189305012111049,0.2189305012111049
ONAQ,MBR,A above B,6452,0.6966831990080595,0.30331680099194047,-9.245050600982226e-4,0.007809861973992249,0.3600433973961562,0.13205207687538748
ONAQ,WP,A above B,5357,1,0,-0.009126974283934284,0.004755359836157824,0.21747246593242486,0.21747246593242486
RMNP,AE,A above B,3198,1,0,-1.4510936960355383e-4,0.0033249946722760937,0.43871169480925576,0.43871169480925576
RMNP,MBR,A above B,2765,0.7909584086799276,0.20904159132007233,-7.533715395766302e-4,0.005130958214285775,0.42929475587703436,0.3685352622061483
RMNP,WP,A above B,3172,1,0,-0.0052107006081154586,0.0033383647026683505,0.4394703656998739,0.4394703656998739
SCBI,AE,A above B,16082,1,0,-9.94623880016428e-5,0.0027459535401685997,0.4432284541723666,0.4432284541723666
SCBI,MBR,A above B,7956,0.7438411261940674,0.2561588738059326,0.005691532192909479,-0.002488918296485343,0.6495726495726496,0.5206133735545501
SCBI,WP,A above B,16089,1,0,-0.004075901380098599,0.002742330850840524,0.4427248430604761,0.4427248430604761
STER,AE,A above B,8645,1,0,-0.003406024064594791,0.002367142857143012,0.48837478311162524,0.48837478311162524
STER,MBR,A above B,7532,0.7716409984067977,0.22835900159320233,0.0033476998882259737,-0.0038341630626957945,0.6360860329261816,0.5590812533191716
STER,WP,A above B,8661,1,0,-0.003994495743687045,0.0023929985849058255,0.4881653388754185,0.4881653388754185
