SITE_ID,Year,n_30min,n_observed,observed_coverage,n_training_obs,annual_budget_gC_m2_yr,model_only_annual_budget_gC_m2_yr,observed_partial_gC_m2,gapfilled_partial_gC_m2,source_state,log_abs_flux,ERA5_Tair_C_annual,ERA5_Tair_C_sd_annual,ERA5_VSWC_annual,ERA5_VSWC_sd_annual,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType,ERA5_Tair_C_annual_site_mean,ERA5_Tair_C_annual_within_site,ERA5_VSWC_annual_site_mean,ERA5_VSWC_annual_within_site
BARR,2021,17520,34,0.00194063926940639,79,-0.126077886097922,-0.125656062724739,-1.75264138733726e-4,-0.125902621959188,0,-0.8993610780065052,-10.246829337899637,12.743239761507137,0.23841315639269406,0.022492297668079836,110,-12,43,1.99,10.0283333333333,1.99,24.2275,38.3475,1.51297115384615,0.371703473886533,0.3,Wetland,-8.942974695586038,-1.303854642313599,0.22459781202435314,0.01381534436834092
BARR,2022,17520,21,0.0011986301369863,79,-0.104140400958872,-0.104399776622,1.26006588984706e-4,-0.104266407547857,0,-0.9823807503766394,-8.740022831050274,12.035507587553363,0.24214180936073046,0.0227598339610403,110,-12,43,1.99,10.0283333333333,1.99,24.2275,38.3475,1.51297115384615,0.371703473886533,0.3,Wetland,-8.942974695586038,0.20295186453576441,0.22459781202435314,0.01754399733637732
BARR,2023,17520,24,0.00136986301369863,79,-0.156026051540267,-0.156188499250323,5.9914066567483e-5,-0.156085965606835,0,-0.8068028790185866,-7.842071917808204,11.95943848080464,0.1932384703196349,0.1089128883474654,110,-12,43,1.99,10.0283333333333,1.99,24.2275,38.3475,1.51297115384615,0.371703473886533,0.3,Wetland,-8.942974695586038,1.1009027777778337,0.22459781202435314,-0.03135934170471824
BART,2021,17520,13,7.42009132420091e-4,367,0.456115258382952,0.456640451499942,-2.15814326299896e-4,0.456331072709252,1,-0.3409253981494202,8.172985159817495,11.216281887806343,0.24418707191780828,0.04264108926135863,1246,5.6,60.3684210526316,0.496052631578947,4.20394736842105,0.496052631578947,3.13333333333333,67.62,1.1358620689655201,2.03997081622457,20,Forest,8.17879674985032,-0.00581159003282572,0.24591614329914915,-0.0017290713813408742
BART,2022,17520,197,0.0112442922374429,367,0.445561887968181,0.440916823127519,0.0103312129239715,0.435230675044209,1,-0.35109196352252087,7.86790239726054,11.801644413281245,0.2365800228310502,0.05137585881630499,1246,5.6,60.3684210526316,0.496052631578947,4.20394736842105,0.496052631578947,3.13333333333333,67.62,1.1358620689655201,2.03997081622457,20,Forest,8.17879674985032,-0.3108943525897807,0.24591614329914915,-0.009336120468098952
BART,2023,17520,78,0.00445205479452055,367,0.469683135919302,0.473205331752696,-0.00150850586297356,0.471191641782275,1,-0.3281950320551211,8.37484589041075,10.256205645512654,0.25726877853881275,0.03691400090253876,1246,5.6,60.3684210526316,0.496052631578947,4.20394736842105,0.496052631578947,3.13333333333333,67.62,1.1358620689655201,2.03997081622457,20,Forest,8.17879674985032,0.19604914056042944,0.24591614329914915,0.011352635239663594
BART,2024,17568,79,0.00449681238615665,367,0.465806757050637,0.465331713803647,0.0029875753820713,0.462819181668566,1,-0.33179421489363264,8.299453551912501,10.896884364156362,0.24562869990892539,0.03945217484124737,1246,5.6,60.3684210526316,0.496052631578947,4.20394736842105,0.496052631578947,3.13333333333333,67.62,1.1358620689655201,2.03997081622457,20,Forest,8.17879674985032,0.12065680206218055,0.24591614329914915,-2.874433902237683e-4
BLAN,2021,17520,102,0.00582191780821918,528,-0.145753381476522,-0.140554233562371,-0.00672251846706072,-0.139030863009461,0,-0.8363813578461818,14.602990867579742,10.03363213419537,0.37725916095890405,0.06633065039469783,982.55,12.1,7.775,0.0433333333333333,0.97,0.0433333333333333,26.1083333333333,27.8,1.54510204081633,1.59982944694717,4,Forest,14.427057381337777,0.1759334862419646,0.37535894613805915,0.0019002148208449032
BLAN,2022,17520,111,0.00633561643835616,528,-0.1450476136344,-0.143880706986318,-0.00103928914503974,-0.144008324489361,0,-0.8384894089477402,13.745456621004767,10.276030151291375,0.3924278253424658,0.04953800602617656,982.55,12.1,7.775,0.0433333333333333,0.97,0.0433333333333333,26.1083333333333,27.8,1.54510204081633,1.59982944694717,4,Forest,14.427057381337777,-0.6816007603330103,0.37535894613805915,0.01706887920440664
BLAN,2023,17520,188,0.0107305936073059,528,-0.208296867248741,-0.208237439783439,-0.00189111880870222,-0.20640574844004,0,-0.6813172596370598,14.901058789954305,9.219074581610727,0.3457893264840181,0.07523924753213675,982.55,12.1,7.775,0.0433333333333333,0.97,0.0433333333333333,26.1083333333333,27.8,1.54510204081633,1.59982944694717,4,Forest,14.427057381337777,0.4740014086165285,0.37535894613805915,-0.029569619654041035
