SITE_ID,n_years_annual,prop_source_annual,mean_annual_budget_gC_m2_yr,median_annual_budget_gC_m2_yr,sd_annual_budget_gC_m2_yr,CH4_annual_behavior
BARR,3,0,-0.128748112865687,-0.126077886097922,0.026045686155429276,Consistent sink
BART,4,1,0.45929175983026804,0.4609610077167945,0.010786186051292513,Consistent source
BLAN,4,0,-0.16125753515261648,-0.14584282986366248,0.0313618802582305,Consistent sink
BONA,4,0,-0.12621228264899326,-0.127079695626363,0.008039719079312873,Consistent sink
CLBJ,4,1,1.1572683300570175,1.15869735431311,0.03609277153577955,Consistent source
CPER,4,1,0.5774266871553637,0.5733804990145105,0.018625517238492754,Consistent source
DCFS,4,0,-0.17527810529940874,-0.170020268641132,0.02466098954348209,Consistent sink
DEJU,4,1,0.2827449690560515,0.286368290261318,0.019960753724875983,Consistent source
DSNY,3,1,0.4672469631732463,0.478454453422305,0.027406387286365772,Consistent source
GRSM,4,1,1.041447048817685,1.042735773031,0.0041422193745153145,Consistent source
HEAL,4,1,0.056154520788434054,0.05251706466781275,0.008794788280719817,Consistent source
JERC,4,1,0.20833976019451825,0.214193616406921,0.022246003960910646,Consistent source
JORN,3,1,0.26578283148198334,0.262298842129442,0.013974847211518896,Consistent source
KONA,4,1,0.2106022235720005,0.22212649579447352,0.03726314652069825,Consistent source
KONZ,4,1,0.06263643786831165,0.07163389617210089,0.019816055221991598,Consistent source
LAJA,4,1,0.8209968077159072,0.852392897605166,0.11189560665746863,Consistent source
LENO,4,1,1.5958903619316525,1.59688872249329,0.015321841627780145,Consistent source
MLBS,4,1,0.3263078584620695,0.324956705702929,0.00841617581671079,Consistent source
MOAB,4,1,0.39956459035426123,0.4019610267886375,0.013982708671411933,Consistent source
NIWO,4,1,0.8237359007707318,0.823923153961766,0.008932915441943747,Consistent source
NOGP,4,1,0.9506571196310355,0.9505037333710885,0.05448568149603364,Consistent source
OAES,4,1,0.902492090968102,0.9028764610990645,0.02875090769154247,Consistent source
ONAQ,4,1,0.13498846679920526,0.134259076391405,0.006649379592724199,Consistent source
ORNL,4,1,0.629561886792569,0.6239934807439169,0.015741661964309928,Consistent source
RMNP,2,1,0.2205053148106175,0.2205053148106175,0.00289581676573301,Consistent source
SCBI,4,1,0.43903647938254725,0.45061415373032654,0.028486532913466714,Consistent source
SERC,4,1,0.13321843109356574,0.135128470584536,0.01322379380766446,Consistent source
SJER,4,1,0.5237054394921238,0.5215306444568191,0.03245100509827111,Consistent source
SOAP,4,1,0.36860114432193253,0.3657343339880215,0.018120412958699175,Consistent source
SRER,4,1,0.23038137142287102,0.2358748087838985,0.018266619171098505,Consistent source
STEI,4,0.75,0.004961769757567025,0.011230574613491199,0.013863917268827894,Consistent source
STER,4,1,0.46157064989658275,0.462817667924338,0.023694292831265548,Consistent source
TALL,4,1,0.5743466622151258,0.5745415155315146,0.004836330609664934,Consistent source
TREE,4,1,0.44779973986878724,0.4511964290929375,0.008713108702603736,Consistent source
UKFS,3,0,-0.25947410359249135,-0.251141114930897,0.023995374613655886,Consistent sink
UNDE,4,1,0.30565507591498753,0.311305278104691,0.012722543991045802,Consistent source
WOOD,4,1,0.21007417566213976,0.219758846178932,0.02120888450987948,Consistent source
WREF,4,1,0.37609640526723276,0.376660116013962,0.004254211078182155,Consistent source
YELL,4,1,0.43644357583156224,0.436776852255653,0.02246347096616178,Consistent source
