SITE_ID,n_months_30min,prop_source_30min,flux_30min_mgC_m2_30min,behavior_30min,n_days_daily,prop_source_daily,mean_daily_mgC_m2_day,median_daily_mgC_m2_day,sd_daily_mgC_m2_day,CH4_daily_behavior,n_years_annual,prop_source_annual,mean_annual_budget_gC_m2_yr,median_annual_budget_gC_m2_yr,sd_annual_budget_gC_m2_yr,CH4_annual_behavior,behavior_30min_to_daily_changed,behavior_daily_to_annual_changed,behavior_30min_to_annual_changed
SJER,35,0.8571428571428571,0.02880905979116322,Consistent source,719,0.6675938803894298,1.2723598600006558,0.17433032780879315,7.354865631051774,Fluctuating,4,1,0.5237054394921238,0.5215306444568191,0.03245100509827111,Consistent source,TRUE,TRUE,FALSE
SOAP,33,0.8484848484848485,0.016935150715252652,Consistent source,766,0.6566579634464752,0.7317472071470749,0.29481796282516437,2.5150648565919562,Fluctuating,4,1,0.36860114432193253,0.3657343339880215,0.018120412958699175,Consistent source,TRUE,TRUE,FALSE
SRER,29,1,0.015491220571768686,Consistent source,680,0.7823529411764706,0.6757002939984029,0.44000460787500484,1.3888062869224735,Consistent source,4,1,0.23038137142287102,0.2358748087838985,0.018266619171098505,Consistent source,FALSE,FALSE,FALSE
STEI,31,0.6451612903225806,-0.0030769174473525614,Fluctuating,565,0.5823008849557522,-0.31827366176530686,0.0161925587686546,4.453457288450485,Fluctuating,4,0.75,0.004961769757567025,0.011230574613491199,0.013863917268827894,Consistent source,FALSE,TRUE,TRUE
STER,33,0.9393939393939394,0.02321866465373492,Consistent source,715,0.8181818181818182,1.266052292392227,0.85061739773553,2.7526094496507345,Consistent source,4,1,0.46157064989658275,0.462817667924338,0.023694292831265548,Consistent source,FALSE,FALSE,FALSE
TALL,31,0.8709677419354839,0.00525951297540958,Consistent source,442,0.7239819004524887,1.045799197209454,1.0180866975111356,5.985361462136689,Fluctuating,4,1,0.5743466622151258,0.5745415155315146,0.004836330609664934,Consistent source,TRUE,TRUE,FALSE
TREE,34,0.8529411764705882,0.003199332983003577,Consistent source,467,0.6595289079229122,0.8682065387298438,0.046906165247720566,6.067171483311248,Fluctuating,4,1,0.44779973986878724,0.4511964290929375,0.008713108702603736,Consistent source,TRUE,TRUE,FALSE
UKFS,28,0.5,-0.006235636569266985,Fluctuating,486,0.5432098765432098,-1.2754180490640858,0.015228703407579959,12.97794981799067,Fluctuating,3,0,-0.25947410359249135,-0.251141114930897,0.023995374613655886,Consistent sink,FALSE,TRUE,TRUE
UNDE,35,0.7428571428571429,0.010537529469291932,Fluctuating,436,0.6444954128440367,0.74094027678455,0.02309837101854687,5.716624197068954,Fluctuating,4,1,0.30565507591498753,0.311305278104691,0.012722543991045802,Consistent source,FALSE,TRUE,TRUE
WOOD,33,0.9696969696969697,0.014107113539265746,Consistent source,782,0.7391304347826086,0.2815425319088198,0.4699642095943841,4.530754591542809,Fluctuating,4,1,0.21007417566213976,0.219758846178932,0.02120888450987948,Consistent source,TRUE,TRUE,FALSE
WREF,26,0.5769230769230769,0.031193704567805895,Fluctuating,209,0.6172248803827751,1.7615859884530767,0.10193857509920662,17.401699508292957,Fluctuating,4,1,0.37609640526723276,0.376660116013962,0.004254211078182155,Consistent source,FALSE,TRUE,TRUE
YELL,25,0.76,0.01257179989783985,Consistent source,374,0.7647058823529411,1.0328198007490286,0.6844312246258104,3.876544704966803,Consistent source,4,1,0.43644357583156224,0.436776852255653,0.02246347096616178,Consistent source,FALSE,FALSE,FALSE
