SITE_ID,n_months_30min,prop_source_30min,flux_30min_mgC_m2_30min,behavior_30min,n_days_daily,prop_source_daily,mean_daily_mgC_m2_day,median_daily_mgC_m2_day,sd_daily_mgC_m2_day,CH4_daily_behavior,n_years_annual,prop_source_annual,mean_annual_budget_gC_m2_yr,median_annual_budget_gC_m2_yr,sd_annual_budget_gC_m2_yr,CH4_annual_behavior,behavior_30min_to_daily_changed,behavior_daily_to_annual_changed,behavior_30min_to_annual_changed
BARR,11,0.5454545454545454,0.01024071459361366,Fluctuating,40,0.575,0.047019057661058246,0.003666385109915335,1.530186452635183,Fluctuating,3,0,-0.128748112865687,-0.126077886097922,0.026045686155429276,Consistent sink,FALSE,TRUE,TRUE
BART,32,0.71875,0.02420082154977463,Fluctuating,222,0.7162162162162162,0.8679479381141433,0.03662181501435344,10.493592619408359,Fluctuating,4,1,0.45929175983026804,0.4609610077167945,0.010786186051292513,Consistent source,FALSE,TRUE,TRUE
BLAN,27,0.4444444444444444,0.004380146135928381,Fluctuating,298,0.587248322147651,-0.837691073562783,0.1313096328002934,11.577402655649855,Fluctuating,4,0,-0.16125753515261648,-0.14584282986366248,0.0313618802582305,Consistent sink,FALSE,TRUE,TRUE
BONA,29,0.5172413793103449,-0.01153580320277314,Fluctuating,206,0.4563106796116505,-0.6306232095279094,-0.0183821916688632,8.295231656574668,Fluctuating,4,0,-0.12621228264899326,-0.127079695626363,0.008039719079312873,Consistent sink,FALSE,TRUE,TRUE
CLBJ,32,0.71875,0.08877216627307889,Fluctuating,185,0.6756756756756757,4.324933683747036,0.096061550356543,31.241443002570744,Fluctuating,4,1,1.1572683300570175,1.15869735431311,0.03609277153577955,Consistent source,FALSE,TRUE,TRUE
CPER,31,0.7419354838709677,0.028398050162155387,Fluctuating,568,0.653169014084507,1.9041292478949507,0.13555024699733273,23.682790985537054,Fluctuating,4,1,0.5774266871553637,0.5733804990145105,0.018625517238492754,Consistent source,FALSE,TRUE,TRUE
DCFS,35,0.6285714285714286,-0.002437574550393556,Fluctuating,708,0.5932203389830508,-0.47058278920129004,0.02267352133680907,4.052529069438754,Fluctuating,4,0,-0.17527810529940874,-0.170020268641132,0.02466098954348209,Consistent sink,FALSE,TRUE,TRUE
DEJU,29,0.5517241379310345,0.003299780236767188,Fluctuating,368,0.5788043478260869,0.5479551246830424,0.08301279065999116,5.054508253744922,Fluctuating,4,1,0.2827449690560515,0.286368290261318,0.019960753724875983,Consistent source,FALSE,TRUE,TRUE
DSNY,22,0.6818181818181818,0.023793091901065523,Fluctuating,117,0.6837606837606838,0.05756697260980674,0.3568788776851001,17.519302158235867,Fluctuating,3,1,0.4672469631732463,0.478454453422305,0.027406387286365772,Consistent source,FALSE,TRUE,TRUE
GRSM,32,0.875,0.06976494214245374,Consistent source,572,0.6940559440559441,2.4411655430698707,1.5242775893819522,9.65638321940746,Fluctuating,4,1,1.041447048817685,1.042735773031,0.0041422193745153145,Consistent source,TRUE,TRUE,FALSE
HEAL,34,0.5294117647058824,0.0022306909657398024,Fluctuating,291,0.6666666666666666,0.11844710131366196,0.011984458604425482,2.6471178012742103,Fluctuating,4,1,0.056154520788434054,0.05251706466781275,0.008794788280719817,Consistent source,FALSE,TRUE,TRUE
JERC,31,0.6451612903225806,-0.0174771990129113,Fluctuating,131,0.6946564885496184,-0.6007856241745401,0.3775856400695216,15.961524499208151,Fluctuating,4,1,0.20833976019451825,0.214193616406921,0.022246003960910646,Consistent source,FALSE,TRUE,TRUE
JORN,23,1,0.019392962782781707,Consistent source,411,0.878345498783455,0.91680253128968,0.6363520892863029,1.3960338043247706,Consistent source,3,1,0.26578283148198334,0.262298842129442,0.013974847211518896,Consistent source,FALSE,FALSE,FALSE
KONA,35,0.8285714285714286,0.01716634052574209,Consistent source,890,0.6955056179775281,0.6167669531275614,0.6164453494401041,4.606414585507071,Fluctuating,4,1,0.2106022235720005,0.22212649579447352,0.03726314652069825,Consistent source,TRUE,TRUE,FALSE
KONZ,35,0.7714285714285715,0.015033459979535218,Consistent source,780,0.7346153846153847,0.1746001839562809,0.9179084248516647,6.710118683937976,Fluctuating,4,1,0.06263643786831165,0.07163389617210089,0.019816055221991598,Consistent source,TRUE,TRUE,FALSE
LAJA,33,0.7878787878787878,0.09082387677187384,Consistent source,691,0.6512301013024602,2.533577172729309,3.458922004496691,12.737318110159194,Fluctuating,4,1,0.8209968077159072,0.852392897605166,0.11189560665746863,Consistent source,TRUE,TRUE,FALSE
LENO,28,0.8214285714285714,0.09344847904952144,Consistent source,193,0.7875647668393783,4.4134422704552945,1.520801824643596,20.27982485360855,Consistent source,4,1,1.5958903619316525,1.59688872249329,0.015321841627780145,Consistent source,FALSE,FALSE,FALSE
MLBS,30,0.7666666666666667,0.020365994539645674,Consistent source,357,0.6554621848739496,0.7925490225556587,0.04104715282372065,4.814285114463597,Fluctuating,4,1,0.3263078584620695,0.324956705702929,0.00841617581671079,Consistent source,TRUE,TRUE,FALSE
MOAB,35,0.9714285714285714,0.02119293603029656,Consistent source,860,0.872093023255814,1.0900549526274719,0.7786974302065487,1.6146831546486673,Consistent source,4,1,0.39956459035426123,0.4019610267886375,0.013982708671411933,Consistent source,FALSE,FALSE,FALSE
NIWO,20,0.6,0.04343804006018034,Fluctuating,98,0.5918367346938775,2.436564565833748,0.01065434868263514,16.508998051449634,Fluctuating,4,1,0.8237359007707318,0.823923153961766,0.008932915441943747,Consistent source,FALSE,TRUE,TRUE
NOGP,33,1,0.047119613008247026,Consistent source,691,0.87409551374819106,2.325463566270974,1.4820187031790495,3.091655822937093,Consistent source,4,1,0.9506571196310355,0.9505037333710885,0.05448568149603364,Consistent source,FALSE,FALSE,FALSE
OAES,34,0.9411764705882353,0.04755114176779353,Consistent source,757,0.8124174372523117,2.139211852582763,1.5098618870982694,5.492999265758293,Consistent source,4,1,0.902492090968102,0.9028764610990645,0.02875090769154247,Consistent source,FALSE,FALSE,FALSE
ONAQ,28,0.5714285714285714,0.006497465987375149,Fluctuating,489,0.50920245398773,0.3434101805853095,7.839849621558457e-4,4.677743639479416,Fluctuating,4,1,0.13498846679920526,0.134259076391405,0.006649379592724199,Consistent source,FALSE,TRUE,TRUE
ORNL,29,0.7931034482758621,0.039820319800713766,Consistent source,421,0.6603325415676959,2.023870065106152,0.43853173240788657,10.880592549066733,Fluctuating,4,1,0.629561886792569,0.6239934807439169,0.015741661964309928,Consistent source,TRUE,TRUE,FALSE
RMNP,12,0.75,0.04492883567784358,Consistent source,36,0.8055555555555556,2.7246691139505756,0.37512368733878654,10.144764936715742,Consistent source,2,1,0.2205053148106175,0.2205053148106175,0.00289581676573301,Consistent source,FALSE,FALSE,FALSE
SCBI,35,0.8,0.022576493062927493,Consistent source,576,0.6996527777777778,1.0243112585373746,0.1456888137225657,6.7421361769846895,Fluctuating,4,1,0.43903647938254725,0.45061415373032654,0.028486532913466714,Consistent source,TRUE,TRUE,FALSE
SERC,33,0.6060606060606061,0.007435372293268281,Fluctuating,645,0.6077519379844961,0.15856953215415728,0.08053222167382092,7.496695621816276,Fluctuating,4,1,0.13321843109356574,0.135128470584536,0.01322379380766446,Consistent source,FALSE,TRUE,TRUE
