SITE_ID,n_days_daily,prop_source_daily,mean_daily_mgC_m2_day,median_daily_mgC_m2_day,sd_daily_mgC_m2_day,CH4_daily_behavior
BARR,40,0.575,0.047019057661058246,0.003666385109915335,1.530186452635183,Fluctuating
BART,222,0.7162162162162162,0.8679479381141433,0.03662181501435344,10.493592619408359,Fluctuating
BLAN,298,0.587248322147651,-0.837691073562783,0.1313096328002934,11.577402655649855,Fluctuating
BONA,206,0.4563106796116505,-0.6306232095279094,-0.0183821916688632,8.295231656574668,Fluctuating
CLBJ,185,0.6756756756756757,4.324933683747036,0.096061550356543,31.241443002570744,Fluctuating
CPER,568,0.653169014084507,1.9041292478949507,0.13555024699733273,23.682790985537054,Fluctuating
DCFS,708,0.5932203389830508,-0.47058278920129004,0.02267352133680907,4.052529069438754,Fluctuating
DEJU,368,0.5788043478260869,0.5479551246830424,0.08301279065999116,5.054508253744922,Fluctuating
DSNY,117,0.6837606837606838,0.05756697260980674,0.3568788776851001,17.519302158235867,Fluctuating
GRSM,572,0.6940559440559441,2.4411655430698707,1.5242775893819522,9.65638321940746,Fluctuating
HEAL,291,0.6666666666666666,0.11844710131366196,0.011984458604425482,2.6471178012742103,Fluctuating
JERC,131,0.6946564885496184,-0.6007856241745401,0.3775856400695216,15.961524499208151,Fluctuating
JORN,411,0.878345498783455,0.91680253128968,0.6363520892863029,1.3960338043247706,Consistent source
KONA,890,0.6955056179775281,0.6167669531275614,0.6164453494401041,4.606414585507071,Fluctuating
KONZ,780,0.7346153846153847,0.1746001839562809,0.9179084248516647,6.710118683937976,Fluctuating
LAJA,691,0.6512301013024602,2.533577172729309,3.458922004496691,12.737318110159194,Fluctuating
LENO,193,0.7875647668393783,4.4134422704552945,1.520801824643596,20.27982485360855,Consistent source
MLBS,357,0.6554621848739496,0.7925490225556587,0.04104715282372065,4.814285114463597,Fluctuating
MOAB,860,0.872093023255814,1.0900549526274719,0.7786974302065487,1.6146831546486673,Consistent source
NIWO,98,0.5918367346938775,2.436564565833748,0.01065434868263514,16.508998051449634,Fluctuating
NOGP,691,0.87409551374819106,2.325463566270974,1.4820187031790495,3.091655822937093,Consistent source
OAES,757,0.8124174372523117,2.139211852582763,1.5098618870982694,5.492999265758293,Consistent source
ONAQ,489,0.50920245398773,0.3434101805853095,7.839849621558457e-4,4.677743639479416,Fluctuating
ORNL,421,0.6603325415676959,2.023870065106152,0.43853173240788657,10.880592549066733,Fluctuating
RMNP,36,0.8055555555555556,2.7246691139505756,0.37512368733878654,10.144764936715742,Consistent source
SCBI,576,0.6996527777777778,1.0243112585373746,0.1456888137225657,6.7421361769846895,Fluctuating
SERC,645,0.6077519379844961,0.15856953215415728,0.08053222167382092,7.496695621816276,Fluctuating
SJER,719,0.6675938803894298,1.2723598600006558,0.17433032780879315,7.354865631051774,Fluctuating
SOAP,766,0.6566579634464752,0.7317472071470749,0.29481796282516437,2.5150648565919562,Fluctuating
SRER,680,0.7823529411764706,0.6757002939984029,0.44000460787500484,1.3888062869224735,Consistent source
STEI,565,0.5823008849557522,-0.31827366176530686,0.0161925587686546,4.453457288450485,Fluctuating
STER,715,0.8181818181818182,1.266052292392227,0.85061739773553,2.7526094496507345,Consistent source
TALL,442,0.7239819004524887,1.045799197209454,1.0180866975111356,5.985361462136689,Fluctuating
TREE,467,0.6595289079229122,0.8682065387298438,0.046906165247720566,6.067171483311248,Fluctuating
UKFS,486,0.5432098765432098,-1.2754180490640858,0.015228703407579959,12.97794981799067,Fluctuating
UNDE,436,0.6444954128440367,0.74094027678455,0.02309837101854687,5.716624197068954,Fluctuating
WOOD,782,0.7391304347826086,0.2815425319088198,0.4699642095943841,4.530754591542809,Fluctuating
WREF,209,0.6172248803827751,1.7615859884530767,0.10193857509920662,17.401699508292957,Fluctuating
YELL,374,0.7647058823529411,1.0328198007490286,0.6844312246258104,3.876544704966803,Consistent source
