scale,response,n_rows,n_sites,deviance_explained,aic
30 min,source_probability,131360,39,0.055925247561109226,153054.2313253352
30 min,magnitude_log_abs,131360,39,0.2509302417654609,338070.49388881586
Daily,source_probability,18242,39,0.0676878866727059,20993.253626772894
Daily,magnitude_log_abs,18242,39,0.2158124861689476,44280.82717661269
Annual,source_probability,150,39,0.48001823974754565,83.27802787604932
Annual,magnitude_log_abs,150,39,0.2280571945471044,143.94832090041373
