SITE_ID,n_months,prop_source_months,prop_sink_months,prop_source_gradient_months,mean_CH4_mgC_30min,median_CH4_mgC_30min,sd_monthly_CH4,mean_gradient_mgC_30min,median_gradient_mgC_30min,mean_storage_mgC_30min,median_storage_mgC_30min,median_storage_abs_fraction,sign_changes,CH4_behavior,CH4_gradient_behavior,behavior_changed_from_gradient,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType
HEAL,34,0.5294117647058824,0.47058823529411764,0.5,0.0022306909657398024,2.0846922614940408e-4,0.015583789814071018,0.002234413446741963,1.982357127605154e-4,-3.7224810021599404e-6,9.848547783848575e-6,0.027992451987678843,17,Fluctuating,Fluctuating,FALSE,320,-4,60.5527272727273,0.383636363636364,9.10909090909091,0.383636363636364,15.7466666666667,31.9266666666667,1.51297115384615,1.69196784974012,0.3,Shrubland
JERC,31,0.6451612903225806,0.3548387096774194,0.6451612903225806,-0.0174771990129113,0.034043466966414485,0.3438180501678045,-0.017658737144919393,0.03382666646383481,1.815381320080944e-4,2.3081791414990894e-6,0.006380457526103578,13,Fluctuating,Fluctuating,FALSE,1307.97,19.2,4.82233009708738,0.0242718446601942,0.422330097087379,0.0242718446601942,11.2427184466019,76.6533980582524,1.51297115384615,1.4271596851054,22,Forest
JORN,23,1,0,1,0.019392962782781707,0.012426479073657303,0.019036621973682527,0.01939479531067145,0.012440847778728096,-1.8325278897441236e-6,-2.5864970272667985e-6,0.005037992441486214,0,Consistent source,Consistent source,FALSE,271.33,15.7,0.806451612903226,0,0.440425531914894,0,9.02553191489362,84.3468085106383,1.57823529411765,0.283462724907497,1,Shrubland
KONA,35,0.8285714285714286,0.17142857142857137,0.8285714285714286,0.01716634052574209,0.018121530122469514,0.02333365746887384,0.01717810363289352,0.018134627632016873,-1.1763107151424905e-5,-1.2323464285006456e-5,0.002467854133420522,6,Consistent source,Consistent source,FALSE,850.63,12.7,6.04117647058824,0.162222222222222,1.32,0.162222222222222,37.48,7.96666666666667,1.66973333333333,1.02028354835506,1.5,Grassland
KONZ,35,0.7714285714285715,0.22857142857142854,0.7714285714285715,0.015033459979535218,0.01807786150142914,0.03215061306440013,0.015037738954370473,0.018078223683338345,-4.278974835254862e-6,-4.405069729844563e-6,0.0012894722646246593,6,Consistent source,Consistent source,FALSE,870.38,12.4,12.9,0.234,2.166,0.234,39.314,10.354,1.64342857142857,1.86788222241987,1,Grassland
LAJA,33,0.7878787878787878,0.21212121212121215,0.7878787878787878,0.09082387677187384,0.09911072330247116,0.13843641489535524,0.09088767662408312,0.09945173280620888,-6.379985220926982e-5,-6.356588003519659e-5,5.029131120287032e-4,14,Consistent source,Consistent source,FALSE,1168,25,7.51129032258064,1.18961038961039,1.48571428571429,1.18961038961039,48.6324675324675,22.5324675324675,1.77082191780822,1.02028354835506,1,Grassland
LENO,28,0.8214285714285714,0.1785714285714286,0.8214285714285714,0.09344847904952144,0.06285337786593481,0.13640782314131722,0.093133244848098,0.062459973538062694,3.1523420142344803e-4,1.0363096452412276e-4,0.01953353810997653,10,Consistent source,Consistent source,FALSE,1386.24,18.1,21.2353846153846,0.304615384615385,1.54923076923077,0.304615384615385,44.3307692307692,20.0092307692308,1.51969230769231,1.80467445576547,38.7,Forest
MLBS,30,0.7666666666666667,0.23333333333333328,0.7333333333333333,0.020365994539645674,0.013526600934569272,0.034318514207975485,0.02035996839873259,0.013510158086513723,6.026140913082339e-6,2.3395778346355564e-5,0.033015721826182724,12,Consistent source,Fluctuating,TRUE,1227.82,8.8,17.4175,0.165,1.65,0.165,19.4925,48.4,1.53631578947368,2.3720819508572,18.9,Forest
MOAB,35,0.9714285714285714,0.02857142857142858,0.9714285714285714,0.02119293603029656,0.0173265331200254,0.013024981645106338,0.021203954920169285,0.01733613952197983,-1.1018889872724768e-5,-8.621629262525306e-6,0.0030179407378075705,2,Consistent source,Consistent source,FALSE,319.46,10.1,0.35,0.0568181818181818,0.411363636363636,0.0568181818181818,14.9863636363636,67.5272727272727,1.57285714285714,0.206745419107119,0.2,Shrubland
NIWO,20,0.6,0.4,0.6,0.04343804006018034,7.056769110667923e-4,0.1698594955610115,0.04342525454093132,6.914048450412191e-4,1.2785519249016431e-5,6.088677848163143e-6,0.022240651551641094,5,Fluctuating,Fluctuating,FALSE,1004.54,0.3,21.7769230769231,0.217307692307692,2.34615384615385,0.217307692307692,11.4489361702128,60.0553191489362,1.33777777777778,0.600909602467655,0.6,Forest
