scale,response,driver,driver_value,fit,lwr,upr
30 min,magnitude_log_abs,Tair_C_within_site,-10.425139481448003,-2.8802481955373933,-3.1377228694712995,-2.622773521603487
30 min,magnitude_log_abs,Tair_C_within_site,-9.783039308481838,-2.8713025579813003,-3.128751867128921,-2.6138532488336796
30 min,magnitude_log_abs,Tair_C_within_site,-9.178665687929918,-2.8633520308986777,-3.120776489012669,-2.6059275727846867
30 min,magnitude_log_abs,Tair_C_within_site,-8.598038420855945,-2.8561350352568127,-3.1135348343264937,-2.5987352361871316
30 min,magnitude_log_abs,Tair_C_within_site,-8.021174308617717,-2.8493634771961895,-3.106738133867603,-2.5919888205247763
30 min,magnitude_log_abs,Tair_C_within_site,-7.467785154289347,-2.843229534137967,-3.1005795808478727,-2.5858794874280617
30 min,magnitude_log_abs,Tair_C_within_site,-6.925019090208231,-2.8375453500884382,-3.094870892017182,-2.5802198081596943
30 min,magnitude_log_abs,Tair_C_within_site,-6.411581493144689,-2.8324587799254166,-3.089760884437192,-2.5751566754136412
30 min,magnitude_log_abs,Tair_C_within_site,-5.865774852620297,-2.827347193015867,-3.084624177849951,-2.5700702081817828
30 min,magnitude_log_abs,Tair_C_within_site,-5.313309379601041,-2.822467838920766,-3.0797192391342216,-2.56521643870731
30 min,magnitude_log_abs,Tair_C_within_site,-4.778347645955194,-2.8180096519639233,-3.0752361648165,-2.5607831391113467
30 min,magnitude_log_abs,Tair_C_within_site,-4.220290733811723,-2.8136213702709263,-3.0708218279475537,-2.556420912594299
30 min,magnitude_log_abs,Tair_C_within_site,-3.6783124065732506,-2.8095992403894012,-3.066774316021709,-2.5524241647570935
30 min,magnitude_log_abs,Tair_C_within_site,-3.15345530617466,-2.805913867940225,-3.06306429813574,-2.54876343774471
30 min,magnitude_log_abs,Tair_C_within_site,-2.6359183583111365,-2.8024678129018175,-3.0595938864275185,-2.5453417393761164
30 min,magnitude_log_abs,Tair_C_within_site,-2.1223049772975147,-2.7992193216773384,-3.0563211831734187,-2.542117460181258
30 min,magnitude_log_abs,Tair_C_within_site,-1.6173010625881088,-2.796180003495388,-3.0532580446449673,-2.539101962345809
30 min,magnitude_log_abs,Tair_C_within_site,-1.1405401518468408,-2.7934417497970876,-3.050497325817523,-2.536386173776652
30 min,magnitude_log_abs,Tair_C_within_site,-0.6747517719611102,-2.7908814407245943,-3.0479151385352075,-2.533847742913981
30 min,magnitude_log_abs,Tair_C_within_site,-0.24411944151624598,-2.7886094205140304,-3.045623007626495,-2.531595833401566
30 min,magnitude_log_abs,Tair_C_within_site,0.17504017604994512,-2.7864809616391146,-3.0434751428193136,-2.5294867804589156
30 min,magnitude_log_abs,Tair_C_within_site,0.5983035483794557,-2.7844108982426294,-3.041385725469504,-2.527436071015755
30 min,magnitude_log_abs,Tair_C_within_site,1.0278014599021437,-2.7823884239976855,-3.039343948453592,-2.525432899541779
30 min,magnitude_log_abs,Tair_C_within_site,1.4497389595385344,-2.780475575396278,-3.037412565008991,-2.5235385857835655
30 min,magnitude_log_abs,Tair_C_within_site,1.864187875534887,-2.778666321541255,-3.035585623070753,-2.5217470200117567
30 min,magnitude_log_abs,Tair_C_within_site,2.291880165795313,-2.776870487448129,-3.03377219162065,-2.5199687832756084
30 min,magnitude_log_abs,Tair_C_within_site,2.7134697396769174,-2.7751706759939094,-3.0320558102754207,-2.518285541712398
30 min,magnitude_log_abs,Tair_C_within_site,3.1503760143903774,-2.7734831774030484,-3.0303520906752532,-2.5166142641308435
30 min,magnitude_log_abs,Tair_C_within_site,3.609644961927006,-2.7717918119299187,-3.0286448743349634,-2.514938749524874
30 min,magnitude_log_abs,Tair_C_within_site,4.0875885892430714,-2.770123849464169,-3.0269618992113787,-2.5132857997169595
30 min,magnitude_log_abs,Tair_C_within_site,4.530289610716428,-2.768665809213283,-3.025491457485887,-2.511840160940679
30 min,magnitude_log_abs,Tair_C_within_site,4.98724296659506,-2.7672524452164295,-3.0240669555018824,-2.5104379349309767
