driver,full_deviance_explained,importance_statistic,response,scale,bootstrap
Tair_within,0.055925247561109226,90.08761658036236,source_probability,30min,0
VSWC_within,0.055925247561109226,378.81426028824256,source_probability,30min,0
PAR_within,0.055925247561109226,4761.245976764713,source_probability,30min,0
hour_of_day,0.055925247561109226,2553.1245608948234,source_probability,30min,0
day_of_year,0.055925247561109226,404.14333282596715,source_probability,30min,0
season,0.055925247561109226,2.676506696379431,source_probability,30min,0
EcoType,0.055925247561109226,2.685962051625305,source_probability,30min,0
Tair_within,0.2509302417654609,551.0828058615492,magnitude_log_abs,30min,0
VSWC_within,0.2509302417654609,299.78244814459896,magnitude_log_abs,30min,0
PAR_within,0.2509302417654609,1600.351770106523,magnitude_log_abs,30min,0
hour_of_day,0.2509302417654609,12.906713450154694,magnitude_log_abs,30min,0
day_of_year,0.2509302417654609,227.11232059186463,magnitude_log_abs,30min,0
season,0.2509302417654609,6.997096273747404,magnitude_log_abs,30min,0
EcoType,0.2509302417654609,6.669374378931272,magnitude_log_abs,30min,0
Tair_within,0.0676878866727059,139.84396386185395,source_probability,daily,0
VSWC_within,0.0676878866727059,1.3005005096561984e-4,source_probability,daily,0
PAR_within,0.0676878866727059,388.635119158002,source_probability,daily,0
day_of_year,0.0676878866727059,105.41924902443324,source_probability,daily,0
season,0.0676878866727059,5.220359760078792,source_probability,daily,0
EcoType,0.0676878866727059,3.1651381660193456,source_probability,daily,0
Tair_within,0.2158124861689476,65.1737427865997,magnitude_log_abs,daily,0
VSWC_within,0.2158124861689476,44.74930026893648,magnitude_log_abs,daily,0
PAR_within,0.2158124861689476,53.84482990124333,magnitude_log_abs,daily,0
day_of_year,0.2158124861689476,16.10923970077703,magnitude_log_abs,daily,0
season,0.2158124861689476,2.0897281115989497,magnitude_log_abs,daily,0
EcoType,0.2158124861689476,6.630884570646237,magnitude_log_abs,daily,0
ERA5_Tair_within,0.48001823974754565,0.8034230993023556,source_probability,annual,0
ERA5_VSWC_within,0.48001823974754565,0.21966510684707677,source_probability,annual,0
ERA5_Tair_site_mean,0.48001823974754565,0.12108467645034257,source_probability,annual,0
ERA5_VSWC_site_mean,0.48001823974754565,1.7452375080932923,source_probability,annual,0
MAP,0.48001823974754565,2.0720337873065744,source_probability,annual,0
acidity,0.48001823974754565,2.3425210192090864,source_probability,annual,0
carbonTot,0.48001823974754565,2.035848711663504,source_probability,annual,0
sulfurTot,0.48001823974754565,0,source_probability,annual,0
EcoType,0.48001823974754565,0.027672669055245756,source_probability,annual,0
ERA5_Tair_within,0.2280571945471044,0.2637217416037968,magnitude_log_abs,annual,0
ERA5_VSWC_within,0.2280571945471044,0.3227717736354931,magnitude_log_abs,annual,0
ERA5_Tair_site_mean,0.2280571945471044,2.394021333723697,magnitude_log_abs,annual,0
ERA5_VSWC_site_mean,0.2280571945471044,2.517260170317475,magnitude_log_abs,annual,0
MAP,0.2280571945471044,0.28176950782055055,magnitude_log_abs,annual,0
acidity,0.2280571945471044,0.910010808835262,magnitude_log_abs,annual,0
carbonTot,0.2280571945471044,0.6007610764620168,magnitude_log_abs,annual,0
sulfurTot,0.2280571945471044,0,magnitude_log_abs,annual,0
EcoType,0.2280571945471044,5.043785015761409,magnitude_log_abs,annual,0
Tair_within,0.04932093898473349,150.06715155422697,source_probability,30min,1
VSWC_within,0.04932093898473349,1115.5369707353861,source_probability,30min,1
PAR_within,0.04932093898473349,3378.8447126769865,source_probability,30min,1
hour_of_day,0.04932093898473349,2486.3176612843763,source_probability,30min,1
day_of_year,0.04932093898473349,437.0710425679623,source_probability,30min,1
season,0.04932093898473349,4.743924929101931,source_probability,30min,1
EcoType,0.04932093898473349,3.075426631507819,source_probability,30min,1
Tair_within,0.18889592748377385,221.70945587837736,magnitude_log_abs,30min,1
VSWC_within,0.18889592748377385,225.72270558226086,magnitude_log_abs,30min,1
PAR_within,0.18889592748377385,1499.540519811716,magnitude_log_abs,30min,1
hour_of_day,0.18889592748377385,14.69120322026447,magnitude_log_abs,30min,1
day_of_year,0.18889592748377385,200.38874764821102,magnitude_log_abs,30min,1
season,0.18889592748377385,6.81423832590017,magnitude_log_abs,30min,1
EcoType,0.18889592748377385,6.0896001719876285,magnitude_log_abs,30min,1
Tair_within,0.05078051126225014,227.62759732431186,source_probability,daily,1
VSWC_within,0.05078051126225014,0.3178840825876939,source_probability,daily,1
PAR_within,0.05078051126225014,250.18502552144702,source_probability,daily,1
day_of_year,0.05078051126225014,124.79192516425368,source_probability,daily,1
season,0.05078051126225014,4.138105006650232,source_probability,daily,1
EcoType,0.05078051126225014,4.538163317608679,source_probability,daily,1
Tair_within,0.2127526085306554,71.28172404602948,magnitude_log_abs,daily,1
VSWC_within,0.2127526085306554,29.367924873921403,magnitude_log_abs,daily,1
PAR_within,0.2127526085306554,71.96077262990312,magnitude_log_abs,daily,1
day_of_year,0.2127526085306554,14.864351965747826,magnitude_log_abs,daily,1
season,0.2127526085306554,2.0557435169583376,magnitude_log_abs,daily,1
EcoType,0.2127526085306554,4.611621539969708,magnitude_log_abs,daily,1
ERA5_Tair_within,0.9999999988534821,3.1571502753489377e-16,source_probability,annual,1
ERA5_VSWC_within,0.9999999988534821,8.293737424484819e-15,source_probability,annual,1
ERA5_Tair_site_mean,0.9999999988534821,0.001383126236862958,source_probability,annual,1
ERA5_VSWC_site_mean,0.9999999988534821,2.975026541315809e-4,source_probability,annual,1
MAP,0.9999999988534821,7.600045900741818e-4,source_probability,annual,1
acidity,0.9999999988534821,0.0013490083728560569,source_probability,annual,1
carbonTot,0.9999999988534821,0.003185932332111164,source_probability,annual,1
sulfurTot,0.9999999988534821,0,source_probability,annual,1
EcoType,0.9999999988534821,4.640548602237245e-4,source_probability,annual,1
ERA5_Tair_within,0.22091733494453814,0.6779562559263189,magnitude_log_abs,annual,1
ERA5_VSWC_within,0.22091733494453814,0.6943905331373698,magnitude_log_abs,annual,1
ERA5_Tair_site_mean,0.22091733494453814,1.023901630930398,magnitude_log_abs,annual,1
ERA5_VSWC_site_mean,0.22091733494453814,1.8739800248069818,magnitude_log_abs,annual,1
MAP,0.22091733494453814,0.44320717220349737,magnitude_log_abs,annual,1
acidity,0.22091733494453814,1.4081880536823053,magnitude_log_abs,annual,1
carbonTot,0.22091733494453814,0.6609949008932977,magnitude_log_abs,annual,1
sulfurTot,0.22091733494453814,0,magnitude_log_abs,annual,1
EcoType,0.22091733494453814,4.257838779121406,magnitude_log_abs,annual,1
