"","SITE_ID","Source","VSWCMean","Q10.mean","Rref.mean","VSWCMin","VSWCVar","sulfurTot","dryMass","acidity","DIEL","FRC.kg.C.m.2","SOC.kg.C.m.2","beta_roots","beta_soc","MAT","MAP","Source_Sink","EcoType","MDS1","MDS2","cluster"
"11","HARV","0",0.161356930863632,1.10282458904745,0.0159736771398495,0.025271875,0.00124687731189141,0.372222222222222,4.45180510017357,34.4,-7.91772273097937e-07,0.792399507,19.260382,0.959574737,0.957848261,7.4,1199.61,"Sink","Forest",-0.453977854415857,-0.0743699684983903,3
"12","HEAL","4",0.00633863709572776,1.23071722223148,0.00766116828362963,0,0.000177317822639461,0.383636363636364,13.0869672727273,60.5527272727273,3.5160817063431e-06,2.522229021,56.85871391,0.954667648,0.982042708,-1.3,385.3,"Source","Shrubland",-1.06869532825998,0.0901148090228081,1
"13","JERC","0",0.077554521829373,1.02952493253704,0.00101965143825926,0.0352777777777778,7.77707527496909e-07,0.0242718446601942,2.98366919578924,4.82233009708738,-8.69529810142423e-07,0.192529328,5.89688601,0.981282511,0.982312463,19.2,1307.97,"Sink","Forest",0.578861358752685,-0.137263227347095,2
"14","KONZ","1",0.183516374763327,1.14835131622222,0.00606696724162037,0.055825,2.46407581891662e-06,0.234,2.76672204193435,12.9,-7.16889571179779e-07,0.532716639,18.2764608,0.937438335,0.983414113,12.4,870.38,"Sink","Grassland",-0.0483073198658689,0.132475823500947,3
"15","LENO","4",0.22458165531269,1.03208026324306,0.00101512524335185,0.0933041666666667,7.70294640313918e-05,0.304615384615385,2.14072912925731,21.2353846153846,6.52177605656631e-06,0.338514204,26.85917166,0.96790184,0.989357948,18.1,1386.24,"Source","Forest",-0.32191355374372,0.162108919956653,3
"16","MLBS","0",0.106298860805275,1.13229944689153,0.00340769053083284,0.0397635912698413,0.000108014205987119,0.165,3.41730316258391,17.4175,-1.49686110841962e-06,0.274105145,32.94972092,0.934438255,0.970099236,8.8,1227.82,"Sink","Forest",-0.338148004041079,0.266620776154429,3
"17","MOAB","2",0.0792533318748734,1.20609248280556,0.0165280978593519,0.0232722222222222,0.000345958178988345,0.0568181818181818,0.905952548270869,0.35,0.000508937591809704,0.174205939,5.67319418,0.956209827,0.987504741,10.1,319.46,"Source","Shrubland",0.997558882935002,0.0487753497352666,2
"18","NIWO","1",0.0794750330388506,1.45612054798958,0.0106303539471597,0.00130138888888889,0.00118605133824204,0.217307692307692,2.83018611768744,21.7769230769231,-2.58507419148642e-06,0.756500557,18.55864565,0.884467123,0.9618026,0.3,1004.54,"Sink","Forest",-0.229189228203813,0.0175944332438586,3
"19","NOGP","4",0.112913608056467,1.42148598631829,0.00130914848640046,0.0102864583333333,0.000615985232851309,0.251190476190476,3.11268237762238,5.56585365853658,1.39650151759309e-06,0.479586968,20.84174199,0.916671722,0.98290921,5.9,456.51,"Source","Grassland",0.062203518833467,0.397594733134033,3
"20","OAES","4",0.170690787598374,1.32653738244329,0.00128746343307639,0.0649996527777778,8.96271086871624e-05,0.135897435897436,0.886342019105393,2.65,5.68999435690197e-06,0.051680348,8.586616106,0.902509786,0.953411654,15.5,778.85,"Source","Grassland",0.670679934570605,0.144224973765075,2
"21","ONAQ","0",0.111476808964385,1.12293413089931,0.0010678835214838,0.0295715277777778,0.000372224482888344,0.225,0.701350274982509,1.4,-4.38984576144771e-06,0.270977395,6.820155328,0.980185974,0.984758514,9,288.31,"Sink","Shrubland",0.844562564329517,0.072061693168115,2
"22","ORNL","3",0.100842207714633,1.12202617052778,0.00106834489866088,0.0238402777777778,6.54808767715371e-05,0.19041095890411,2.87908977251095,16.8493150684932,1.1842681498496e-06,0.360351809,7.973441941,0.965670744,0.968370139,14.4,1340.32,"Source","Forest",0.0723249176663548,-0.197203031336676,4
"23","OSBS","3",0.041146875020198,1.05516335466435,0.00548211182556366,0.0108364583333333,4.31113424624148e-05,0.295,2.5491389026695,19.3875,-5.32343769573788e-08,0.236886755,2.757733894,0.967626358,0.977822385,20.9,1302.09,"Sink","Forest",-0.0227501658821628,-0.45730426834512,4
"24","RMNP","4",0.0884575106162706,1.21182266838889,0.00119702997802431,0.0280881944444444,0.000328186207412695,0.12,2.01559397435897,18.3981818181818,1.14607652951446e-06,0.167574314,29.98941685,0.989409506,0.976943901,2.9,730.59,"Source","Forest",-0.315255848739162,0.251841667242566,3
"25","SCBI","3",0.24481106049891,1.05777998758333,0.00104296465278704,0.0359944444444444,0.000249713520885776,0.175862068965517,2.3549884752487,17.7473684210526,6.58767953295114e-07,0.199946094,6.820205781,0.989569862,0.956205104,11.6,1125.5,"Source","Forest",0.077221237202846,-0.253921196229995,4
"26","SERC","4",0.226785212749813,1.03806504006019,0.00101583528218981,0.0185361111111111,0.00213425234262729,0.144565217391304,3.41230625,14.2223684210526,1.60047032083893e-06,0.223581984,9.731888714,0.96147619,0.968989325,13.6,1074.65,"Source","Forest",0.095960804013001,-0.0943760388202177,4
"27","SJER","3",0.0370596933867007,1.16141213716667,0.00107433437832407,0.011525,1.80724850193864e-05,0.00571428571428571,0.587783050445991,3.01714285714286,8.41213302470178e-07,0.131152536,5.379730861,0.980717934,0.980632527,16.4,539.62,"Source","Forest",0.846936216307719,-0.0992144317294718,2
"28","SOAP","4",0.133675092807623,1.1663088549537,0.00105832804062963,0.00804722222222222,0.000654440235023982,0.340425531914894,2.64138856700369,21.5851063829787,3.76672806254906e-06,0.698679417,18.42450073,0.983755097,0.97291765,13.4,900.35,"Source","Forest",-0.222306882501392,0.0148795485985527,3
"29","SRER","0",0.0606004165692742,1.07654394144097,0.0010373233677662,0.0159138888888889,7.2687933137314e-05,0.025,0.426214422253477,1.35609756097561,-3.80080328722847e-06,0.061371927,5.054315899,0.98498473,0.981832926,19.3,346.16,"Sink","Shrubland",1.00807036575422,-0.071530547020416,2
"30","STEI","0",0.198934494038515,1.12645869157407,0.00250323582862037,0.00719722222222222,0.00352667908362664,0.25,3.81360876152773,18.325,-2.84187367179388e-06,0.295810686,10.77588455,0.956012416,0.957286505,4.8,797.56,"Sink","Forest",-0.040924427578093,-0.129955983440296,4
"31","TALL","2",0.0582579346511807,1.04383942275446,0.00102271984830357,0.0190419642857143,9.64445576742849e-06,0.0326923076923077,2.46021988708748,9.31153846153846,-1.0729531874846e-07,0.219884546,8.238839878,0.970280132,0.976000151,17.2,1382.68,"Sink","Forest",0.318393249168801,-0.0738127938941231,4
"32","TREE","0",0.155793716102206,1.0789170858287,0.00102690842286111,0.00828784722222222,0.00206595801538805,0.366666666666667,3.98413260869565,22.0183333333333,-2.52167479420433e-06,0.771321627,9.836097322,0.949235568,0.970160635,4.8,797.56,"Sink","Forest",-0.116845757542978,-0.194103849501993,4
"33","UKFS","3",0.156316167801312,1.21125115203704,0.00113931223211111,0.0175444444444444,0.000109661238125397,0.130985915492958,2.00504065640078,20.5307692307692,2.26948594032889e-06,0.440231388,38.99733369,0.984173824,0.976657744,12.7,990.63,"Source","Forest",-0.456823712380483,0.315586066782014,3
"34","UNDE","1",0.212114651107468,1.07034935212037,0.0010307104949537,0.00419722222222222,0.00182054403800598,0.642028985507246,4.13492594085674,46.7173913043478,-9.46590366405737e-07,0.127531538,12.35408804,0.973715698,0.966609163,4.3,802.3,"Sink","Forest",-0.551800109542165,-0.289030904148857,1
"35","WOOD","2",0.0994735851311448,1.27950881317708,0.00313917837075694,0.0102267361111111,0.000972563114829975,1.66323529411765,4.39183114121468,6.84545454545455,-2.69027910402624e-07,0.30213513,11.77684274,0.941420568,0.967829362,4.9,493.76,"Sink","Grassland",0.256551054302498,0.183702054715828,4
"36","WREF","0",0.106398759299154,1.05820070692593,0.00102744203801852,0.0135888888888889,0.000698017909343213,0.467307692307692,5.73478188311688,49.7019230769231,-8.78193588498611e-07,2.044726519,15.42859218,0.933152204,0.985180989,9.2,2225.01,"Sink","Forest",-0.643995133860589,-0.228997251154758,1
