"","SITE_ID","Source","VSWCMean","Q10.mean","Rref.mean","VSWCMin","VSWCVar","sulfurTot","dryMass","acidity","DIEL","FRC.kg.C.m.2","SOC.kg.C.m.2","beta_roots","beta_soc","MAT","MAP","Source_Sink","EcoType","MDS1","MDS2","cluster"
"1","ABBY","0",0.0942827717500579,1.00950589473495,0.00100821419202431,0.0247913194444444,0.000469642700283931,0.508450704225352,5.15831538461538,49.1774647887324,-1.27443216774542e-06,0.860774546,29.30867501,0.970618449,0.979092844,10,2450.59,"Sink","Forest",-0.727314537196543,0.00203701910339197,1
"2","BART","0",0.223982573278936,1.009428455875,0.00100730364242824,0.0190572916666667,0.00109127749222527,0.496052631578947,5.56411227777503,60.3684210526316,-4.31431199689911e-06,0.550078178,15.73927854,0.925900726,0.974719355,6.2,1325.55,"Sink","Forest",-0.748786867890822,-0.227985051855437,1
"3","BLAN","3",0.187642681079126,1.48897101959722,0.00152304483788194,0.0251357638888889,0.000948432882465045,0.0433333333333333,1.37558224416367,7.775,1.7632858095289e-06,0.182348425,5.83656051,0.96568934,0.956772199,12.1,982.55,"Source","Forest",0.494747414709383,-0.176221289630506,2
"4","BONA","4",0.0107218237450237,1.1785433137328,0.00112244677404894,0,0.000464557794545292,0.42027027027027,5.74601242376066,62.05,7.21756675160898e-07,0.317227307,47.35591448,0.959412408,0.988106247,-3,262,"Source","Forest",-0.965855131033513,0.0637204851441543,1
"5","CPER","3",0.0770984273688879,1.3913259929537,0.0109456511698796,0.0196722222222222,3.04422188520934e-05,0.192105263157895,0.743354402198038,1.72631578947368,1.02209993239998e-06,0.211681116,8.808460018,0.970088678,0.984698167,8.6,344.24,"Source","Grassland",0.70564415573907,0.180576790964819,2
"6","DCFS","3",0.150728515475289,1.19488082722569,0.0010853972220463,0.0777256944444444,2.87915267219924e-05,0.189655172413793,3.71724838496028,10.0529411764706,9.65179578639372e-07,0.274419641,20.28003013,0.936762051,0.988594019,4.9,489.74,"Source","Grassland",-0.0254089178795097,0.24394570614889,3
"7","DEJU","0",0.0968308230095156,1.17888588961971,0.00230832775753737,0.0078202380952381,0.00104713081587899,0.166216216216216,6.07107557474153,14.2513513513514,-6.66013473291991e-07,0.784872213,10.80897406,0.819684638,0.982091304,-3,305,"Sink","Forest",0.0277888955560357,-0.0771962862530387,4
"8","DELA","4",0.185562235910404,1.07876442938757,0.00102896640163624,0.0478837301587302,0.000315904399479506,0.201219512195122,2.27051585442108,12.9342857142857,6.53221616384001e-06,0.269678035,9.170188963,0.978659387,0.969718994,17.6,1371.7,"Source","Forest",0.172234670049818,-0.0848961217407785,4
"9","DSNY","4",0.140048977108292,1.17455228793519,0.0010714331365463,0.0546777777777778,3.38349628936805e-05,0.0485714285714286,2.10799488159417,10.5814285714286,3.58728889112226e-06,0.239218075,13.04333751,0.955676085,0.984483037,22.5,1216.09,"Source","Cropland",0.156115624732825,0.083122223419513,4
"10","YELL","1",0.128497901888346,1.22923834528571,0.0129334645164352,0.0192916666666667,0.00129797088428036,0.89047619047619,4.24450099009901,12.3777777777778,-3.45772574777764e-07,0.424263857,20.49130875,0.971296664,0.983614011,3.4,493.44,"Sink","Forest",-0.0875560840661145,0.196399167146258,3
